Loci	ips_0	ips_1	ips_2	pips_0	pips_1	pips_2	mef_0	mef_1	mef_2
p	0.936791	0.0632084	2.63813e-07	0.942273	0.0577272	7.83405e-11	0.917994	0.082002	3.56741e-06
a	0.997953	0.00204104	6.18214e-06	0.999928	7.15811e-05	5.68912e-10	0.999923	7.70699e-05	3.56183e-10
Zxdb	0.576449	0.423422	0.000128995	0.577478	0.4225	2.12293e-05	0.549377	0.450033	0.000590411
Zswim5	0.805789	0.194109	0.000101767	0.808393	0.191603	3.8727e-06	0.765813	0.233354	0.000832781
Zswim2	0.999799	0.000200458	3.16741e-07	1	1.33871e-07	9.47198e-12	0.999318	0.00068218	2.89423e-07
Zscan20	0.840853	0.159074	7.27101e-05	0.847024	0.152976	1.93739e-07	0.839211	0.160745	4.45021e-05
Zscan2	0.999983	1.63418e-05	3.44234e-07	1	1.03197e-08	7.68722e-11	0.999926	7.34436e-05	1.44125e-07
Zpbp2	0.999669	0.000328156	3.10717e-06	0.999988	1.15366e-05	4.1755e-11	0.999244	0.000754641	1.52121e-06
Zpbp	0.99983	0.000168815	9.04658e-07	1	2.99168e-07	9.93912e-12	0.997897	0.00210209	1.27003e-06
Zp3r	0.999265	0.000734693	3.36221e-08	0.999878	0.000121941	2.00329e-12	0.989745	0.0102543	5.39366e-07
Zp3	0.969529	0.0303747	9.64573e-05	0.999939	6.09519e-05	1.92385e-11	0.999624	0.000376182	8.87246e-09
Zp2	0.99986	0.000140163	1.84815e-09	0.999997	3.05074e-06	6.75612e-13	0.997722	0.00227775	7.83584e-08
Zp1	0.999428	0.000571103	6.24038e-07	0.999993	7.25024e-06	1.7158e-10	0.999986	1.41025e-05	1.20327e-09
Znrf4	0.992145	0.0078532	2.05276e-06	0.994728	0.00527196	4.57011e-11	0.98358	0.0164188	1.57254e-06
Zmynd15	0.996472	0.00352371	4.30887e-06	0.999715	0.000284778	6.23806e-11	0.999368	0.000632031	1.36732e-07
Zmynd12	0.999999	8.7627e-07	7.84837e-08	1	6.14389e-10	5.63796e-12	0.999998	1.77699e-06	6.75651e-09
Zmynd10	0.997209	0.00277522	1.5299e-05	0.999321	0.000679242	3.24777e-09	0.998683	0.00131677	5.27402e-07
Zmiz1	0.99602	0.00396386	1.59325e-05	0.997027	0.00297337	3.16882e-08	0.991174	0.00880087	2.52197e-05
Zmat4	0.994511	0.00547832	1.04029e-05	0.998794	0.00120594	5.67105e-11	0.995201	0.0047976	1.54952e-06
Zmat1	0.997982	0.00201657	1.08932e-06	0.998214	0.00178582	3.0169e-09	0.88234	0.117466	0.000194057
Zkscan6	0.999799	0.000200584	7.06207e-07	0.999964	3.64667e-05	1.06107e-09	0.998589	0.00140929	1.24126e-06
Zim1	0.999891	0.000109409	2.0342e-08	0.999998	2.40902e-06	1.59041e-11	0.999676	0.000324118	4.5661e-08
Zic4	0.99661	0.00338325	6.89729e-06	0.999931	6.9372e-05	7.15061e-11	0.998795	0.00120449	1.67739e-07
Zic1	0.00736492	0.992575	6.05422e-05	0.000206199	0.997986	0.00180755	0.000139378	0.996964	0.00289684
