Loci	mef
0610007P08Rik_mef	3.99744
0610008F07Rik_mef	5.36055
0610010D20Rik_mef	5.40508
0610012D14Rik_mef	4.77892
0610012H03Rik_mef	3.83179
0710005I19Rik_mef	4.02763
1-Mar_mef	3.34909
1-Sep_mef	4.80222
1100001E04Rik_mef	3.04356
1100001G20Rik_mef	3.40773
1100001H23Rik_mef	5.38405
1110001D15Rik_mef	4.48442
1110002H13Rik_mef	3.97959
1110006O24Rik_mef	4.5757
1110017D15Rik_mef	4.60895
1110017I16Rik_mef	4.8457
1110020C03Rik_mef	5.30252
1110028C15Rik_mef	5.18431
1110032A04Rik_mef	3.2155
1110033F04Rik_mef	2.52897
1110049B09Rik_mef	4.30081
1190002A17Rik_mef	3.1444
1190002H23Rik_mef	6.18703
1190003J15Rik_mef	4.7187
1190003M12Rik_mef	5.14891
12-Sep_mef	2.83214
1200009I06Rik_mef	6.17658
1200009O22Rik_mef	4.47579
1200013B08Rik_mef	5.04222
1200015N20Rik_mef	5.324
1300002K09Rik_mef	2.74228
1300007F04Rik_mef	3.4672
1300017J02Rik_mef	4.40444
1500001A10Rik_mef	4.23574
1500005I02Rik_mef	4.42052
1500015O10Rik_mef	6.21452
1500041B16Rik_mef	6.55722
1600002O04Rik_mef	5.45974
1600015H20Rik_mef	4.34162
1600015I10Rik_mef	4.66701
1700001C02Rik_mef	3.96541
1700001C19Rik_mef	4.75753
1700001E04Rik_mef	5.52208
1700001F09Rik_mef	2.67625
1700001L05Rik_mef	5.24886
1700001O22Rik_mef	3.91841
1700001P01Rik_mef	3.84806
1700003F12Rik_mef	5.20493
1700003M02Rik_mef	4.19595
1700006J14Rik_mef	3.06224
1700007G11Rik_mef	3.29816
1700007I06Rik_mef	3.27311
1700007K09Rik_mef	5.02944
1700008F21Rik_mef	2.14805
1700008G05Rik_mef	3.95374
1700008I05Rik_mef	2.81317
1700009N14Rik_mef	4.7124
1700010A17Rik_mef	4.3831
1700010C24Rik_mef	4.02272
1700010D01Rik_mef	3.06732
1700010H22Rik_mef	3.02672
1700010I14Rik_mef	4.34955
1700010M22Rik_mef	2.54109
1700011F03Rik_mef	5.12934
1700011F14Rik_mef	2.77634
1700011H14Rik_mef	2.97689
1700011J10Rik_mef	3.22977
1700012A03Rik_mef	2.80626
1700012A16Rik_mef	4.91685
1700012B09Rik_mef	3.62417
1700012L04Rik_mef	4.48942
1700013G24Rik_mef	3.83012
1700015E13Rik_mef	4.60616
1700016C15Rik_mef	3.46743
1700016D06Rik_mef	3.02575
1700016G05Rik_mef	4.76531
1700016K19Rik_mef	3.11421
1700017N19Rik_mef	2.66235
1700018B08Rik_mef	5.45604
1700018C11Rik_mef	3.48014
1700018F24Rik_mef	4.78078
1700018L24Rik_mef	3.73727
1700019G17Rik_mef	4.9353
1700019L03Rik_mef	3.42638
1700019M22Rik_mef	3.05331
1700019N12Rik_mef	2.99785
1700019N19Rik_mef	4.26602
1700019P01Rik_mef	4.38691
1700020D05Rik_mef	2.7529
1700020L24Rik_mef	5.5869
1700020N15Rik_mef	3.92877
1700021K02Rik_mef	3.50929
1700023E05Rik_mef	5.10828
1700023I07Rik_mef	2.51191
1700024B05Rik_mef	2.50107
1700025D03Rik_mef	4.87351
1700025E21Rik_mef	4.53487
1700025F22Rik_mef	2.30124
1700026D08Rik_mef	2.7224
1700026L06Rik_mef	4.91948
1700027A23Rik_mef	4.0643
1700027D21Rik_mef	5.14719
1700027N10Rik_mef	5.98754
1700028P14Rik_mef	3.41425
1700029F12Rik_mef	4.59361
1700029H14Rik_mef	4.07348
1700029I08Rik_mef	5.17652
1700029I15Rik_mef	3.79692
1700029J07Rik_mef	2.92178
1700029P11Rik_mef	4.38186
1700030F18Rik_mef	3.62551
1700030J22Rik_mef	3.87129
1700034E13Rik_mef	4.19877
1700034H15Rik_mef	3.29773
1700034I23Rik_mef	2.63673
1700034K16Rik_mef	3.84707
1700034O15Rik_mef	4.52986
1700036D21Rik_mef	5.3492
1700037C18Rik_mef	4.98508
1700039E15Rik_mef	4.00019
1700040L02Rik_mef	3.14805
1700041C02Rik_mef	3.9245
1700042B14Rik_mef	2.78438
1700042G07Rik_mef	4.31818
1700049G17Rik_mef	3.20406
1700049K14Rik_mef	3.75412
1700054O13Rik_mef	3.14988
1700055M20Rik_mef	3.38109
1700057G04Rik_mef	3.75336
1700057K13Rik_mef	3.98523
1700058C13Rik_mef	4.64032
1700061G19Rik_mef	4.51398
1700065D16Rik_mef	2.28892
1700065I17Rik_mef	4.85294
1700066B19Rik_mef	4.44562
1700067C01Rik$1700067C01Rik_mef	3.1883
1700067K01Rik_mef	4.2871
1700067P10Rik_mef	3.40897
1700071K01Rik_mef	5.48298
1700072E05Rik_mef	2.93796
1700074P13Rik_mef	2.54534
1700080E11Rik_mef	4.3614
1700081D17Rik_mef	3.36633
1700088E04Rik_mef	5.51899
1700093K21Rik_mef	2.40981
1700094C09Rik_mef	2.60188
1700102P08Rik_mef	3.69388
1700108M19Rik_mef	2.55053
1700109H08Rik_mef	4.21802
1700110M21Rik_mef	3.9244
1700112C13Rik_mef	5.28607
1700113O17Rik_mef	3.55873
1700123K08Rik_mef	4.5934
1700127D06Rik_mef	4.31964
1700129I04Rik_mef	4.7961
1700129I15Rik_mef	5.45684
1810007E14Rik_mef	3.68153
1810008K16Rik_mef	2.53363
1810008N23Rik_mef	2.61669
1810009J06Rik_mef	4.97364
1810010M01Rik_mef	4.03101
