Loci	pips
0610007P08Rik_pips	3.85724
0610008F07Rik_pips	5.32525
0610012D14Rik_pips	4.74547
0610012H03Rik_pips	3.7273
0610038D11Rik_pips	6.2397
0710005I19Rik_pips	3.63709
1-Mar_pips	3.52719
1100001E04Rik_pips	3.16482
1100001G20Rik_pips	3.58927
1110001D15Rik_pips	4.81452
1110002H13Rik_pips	3.92077
1110005A03Rik_pips	6.14403
1110006O24Rik_pips	5.00105
1110008J03Rik_pips	7.39411
1110017D15Rik_pips	4.88578
1110028C15Rik_pips	4.76757
1110033F04Rik_pips	2.67584
1110038D17Rik_pips	7.64032
1110054O05Rik_pips	7.14481
1190002A17Rik_pips	3.1932
1190002H23Rik_pips	4.61077
1190003M12Rik_pips	5.42622
1190005F20Rik_pips	6.93577
12-Sep_pips	4.64257
1200009O22Rik_pips	4.09935
1200013B08Rik_pips	4.89027
1200015N20Rik_pips	3.8517
1300002K09Rik_pips	2.71458
1300007F04Rik_pips	3.5024
1300017J02Rik_pips	4.30651
1500001A10Rik_pips	3.64302
1500005I02Rik_pips	4.24727
1500015O10Rik_pips	4.84359
1600002O04Rik_pips	4.23104
1600015H20Rik_pips	3.2118
1600016N20Rik_pips	5.87391
1700001C02Rik_pips	3.84879
1700001C19Rik_pips	4.69177
1700001E04Rik_pips	4.49065
1700001F09Rik_pips	2.6038
1700001L05Rik_pips	5.18633
1700001O22Rik_pips	3.92345
1700001P01Rik_pips	4.33806
1700003F12Rik_pips	5.0084
1700003M02Rik_pips	4.13784
1700006J14Rik_pips	3.0489
1700007G11Rik_pips	3.35026
1700007I06Rik_pips	3.16708
1700008F21Rik_pips	2.11909
1700008G05Rik_pips	4.01028
1700008I05Rik_pips	3.00748
1700009N14Rik_pips	4.0423
1700010A17Rik_pips	4.19659
1700010C24Rik_pips	3.8125
1700010D01Rik_pips	3.49442
1700010H22Rik_pips	2.9794
1700010I14Rik_pips	4.37255
1700010M22Rik_pips	2.68262
1700011F14Rik_pips	2.87874
1700011H14Rik_pips	3.24383
1700011J10Rik_pips	3.19447
1700012A03Rik_pips	2.77551
1700012A16Rik_pips	5.47581
1700012B09Rik_pips	3.77302
1700012H17Rik_pips	6.07994
1700012L04Rik_pips	4.49031
1700013G24Rik_pips	3.76853
1700015E13Rik_pips	4.49616
1700016C15Rik_pips	3.31902
1700016D06Rik_pips	2.9147
1700016K19Rik_pips	3.24457
1700017N19Rik_pips	2.77331
1700018C11Rik_pips	3.6336
1700018L24Rik_pips	3.64952
1700019G17Rik_pips	5.22576
1700019L03Rik_pips	3.47469
1700019M22Rik_pips	3.23204
1700019N12Rik_pips	2.89129
1700019N19Rik_pips	4.19787
1700019P01Rik_pips	5.12768
1700020D05Rik_pips	3.03506
1700020N15Rik_pips	3.93561
1700021C14Rik_pips	6.16492
1700021K02Rik_pips	3.60206
1700023E05Rik_pips	5.07289
1700023I07Rik_pips	2.72116
1700024B05Rik_pips	3.39162
1700025E21Rik_pips	4.75091
1700025F22Rik_pips	2.37535
1700026D08Rik_pips	2.70518
1700026L06Rik_pips	4.89118
1700027A23Rik_pips	4.02103
1700028P14Rik_pips	3.34413
1700029F12Rik_pips	4.54544
