Loci	ips
p	0
a	0
Zxdb	0
Zswim5	0
Zswim2	0
Zscan20	0
Zscan2	0
Zpbp2	0
Zpbp	0
Zp3r	0
Zp3	0
Zp2	0
Zp1	0
Znrf4	0
Zmynd15	0
Zmynd12	0
Zmynd10	0
Zmiz1	0
Zmat4	0
Zmat1	0
Zkscan6	0
Zim1	0
Zic4	0
Zic1	0
Zhx3	0
Zfyve28	0
Zfyve27	0
Zfyve16	0
Zfy1	0
Zfp94	0
Zfp92	0
Zfp9	0
Zfp82	0
Zfp811	0
Zfp804a	0
Zfp787$LOC100041228	0
Zfp786	0
Zfp784	0
Zfp78	0
Zfp768	0
Zfp759	0
Zfp750	0
Zfp75	0
Zfp711	0
Zfp709	0
Zfp708	0
Zfp697	0
Zfp689	0
Zfp677	0
Zfp672	0
Zfp661	0
Zfp653	0
Zfp629	0
Zfp619	0
Zfp612	0
Zfp608	0
Zfp606	0
Zfp597	0
Zfp595	0
Zfp59	0
Zfp583	0
Zfp563	0
Zfp551	0
Zfp541	0
Zfp536	0
Zfp524	0
Zfp521	0
Zfp52	0
Zfp509	0
Zfp503	0
Zfp474	0
Zfp467	0
Zfp458	0
Zfp455	0
Zfp40	0
Zfp398	0
Zfp39	0
Zfp358	0
Zfp354b	0
Zfp334	0
Zfp324	0
Zfp319	0
Zfp316	0
Zfp30	0
Zfp3	0
Zfp287	0
Zfp286	0
Zfp282	0
Zfp28	0
Zfp276	0
Zfp273	0
Zfp27	0
Zfp248	0
Zfp213	0
Zfp202	0
Zfp2	0
Zfp189	0
Zfp182	0
Zfp179	0
Zfp169	0
Zfp142	0
Zfp14	0
Zfp128	0
Zfp119	0
Zfp113	0
Zfp112	0
Zfp111	0
Zfp11	0
Zfp109	0
Zfp108	0
Zfhx4	0
Zfat1	0
Zer1	0
Zeb2	0
Zdhhc25	0
Zdhhc22	0
Zdhhc2	0
Zdhhc19	0
Zdhhc17	0
Zdhhc14	0
Zdhhc11	0
Zcchc5	0
Zcchc4	0
Zcchc18	0
Zc3hav1	0
Zc3h7a	0
Zc3h6	0
Zc3h12d	0
Zbtb8os	0
Zbtb7c	0
Zbtb46	0
Zbtb4	0
Zbtb38	0
Zbtb37	0
Zbtb20	0
Zbtb16	0
Zbed3	0
Zan	0
Ypel4	0
Ypel1	0
Yod1	0
Xtrp3s1	0
Xpnpep2	0
Xkrx	0
Xkr6	0
Xkr4	0
Xk	0
Xirp1	0
Xdh	0
Xcr1	0
Xcl1	0
Wwox	0
Wscd1	0
Wnt9b	0
Wnt9a	0
Wnt8b	0
Wnt8a	0
Wnt5b	0
Wnt5a	0
Wnt3a	0
Wnt2b	0
Wnt2	0
Wnt16	0
Wnt11	0
Wnt10b	0
Wnt10a	0
Wnt1	0
Wnk4	0
Wnk2	0
Wipi1	0
Wif1	0
Whrn	0
Whdc1	0
Wfikkn2	0
Wfdc6a	0
Wfdc5	0
Wfdc3	0
Wfdc15b	0
Wee2	0
Wdr86	0
Wdr78	0
Wdr69	0
Wdr63	0
Wdr60	0
Wdr5b	0
Wdr38	0
Wdr27	0
Wdr22	0
Wdr20b	0
Wdr19	0
Wdr17	0
Wdr16	0
Wbscr28	0
Was	0
Wars2	0
Wap	0
Vwf	0
Vwc2	0
Vwa2	0
Vwa1	0
Vtn	0
Vti1a	0
Vtcn1	0
Vsx1	0
Vstm2	0
Vsnl1	0
Vsig8	0
Vsig2	0
Vsig1	0
Vps37d	0
Vps13c	0
Vpreb3	0
Vpreb1	0
Vnn1	0
Vldlr	0
Vit	0
Vipr2	0
Vipr1	0
Vip	0
Vil1	0
Vgll2	0
Vgll1	0
Vgf	0
Vezt	0
Veph1	0
Vdr	0
Vcan	0
Vax1	0
Vav3	0
Vav1	0
Vash2	0
Vamp5	0
Vamp1	0
V2r16	0
V1rd9	0
V1rd4	0
V1rd3	0
V1rc8$V1rc22	0
V1rc7	0
V1rc6	0
V1rc5	0
V1rc3	0
V1rc22	0
V1rc2	0
V1rc1	0
V1rb8	0
V1rb7	0
V1rb6	0
V1rb5	0
V1rb3	0
V1rb2	0
V1rb10	0
V1rb1	0
V1ra9	0
V1ra6	0
V1ra5	0
V1ra4$V1ra3	0
V1ra2	0
V1ra1	0
Uty	0
Uts2r	0
Uts2	0
Usp9y	0
Usp53	0
Usp50	0
Usp43	0
Usp29	0
Usp20	0
Usp13	0
Ushbp1	0
Ush2a	0
Ush1c	0
Uqcrq	0
Upp2	0
Upk3b	0
Upk3a	0
Upk1b	0
Upk1a	0
Upb1	0
Uox	0
Uncx4.1	0
Unc5d	0
Unc5cl	0
Unc45b	0
Unc13d	0
Unc13c	0
Unc13a	0
Umodl1	0
Umod	0
Ulk2	0
Ugt3a2	0
Ugt2b5	0
Ugt2b38	0
Ugt2b37	0
Ugt2b36	0
Ugt2b35	0
Ugt2b34	0
Ugt2b1	0
Ugt2a3	0
Ugt2a1	0
Ugcgl2	0
Ucp1	0
Ucn3	0
Ucn	0
Uchl4$Uchl3	0
Ubxd3	0
Ubqlnl	0
Ubqln3	0
Ubl4b	0
Ube2u	0
Ube2m	0
Ube2l6	0
Ubd	0
Ubash3a	0
Tyrp1	0
Tyrobp	0
Tyr	0
Tyms	0
Tyki	0
Txnl6	0
Txndc8	0
Txndc3	0
Txndc2	0
Txlnb	0
Txk	0
Tusc5	0
Tulp2	0
Tulp1	0
Tubd1	0
Tubb1	0
Tuba8	0
Tub	0
Ttyh1$Taf1	0
Ttn	0
Ttll9	0
Ttll3	0
Ttll13	0
Ttll11	0
Ttll10	0
Ttl	0
Ttc9b	0
Ttc7	0
Ttc29	0
Ttc25	0
Ttc23	0
Ttc22	0
Ttc21a	0
Ttc17	0
Ttc16	0
Tssk6	0
Tssk5	0
Tssk4	0
Tssk3	0
Tssk2	0
Tssk1	0
Tspyl5	0
Tspyl3	0
Tspan8	0
