Loci	ips_0	ips_1	ips_2
p	0.980757	0.0190112	0.000231484
a	0.974872	0.024815	0.000312747
Zxdb	0.780572	0.215185	0.00424373
Zswim5	0.895318	0.103009	0.00167363
Zswim2	0.998134	0.00184655	1.95334e-05
Zscan20	0.676631	0.316247	0.00712268
Zscan2	0.964714	0.0348245	0.00046113
Zpbp2	0.992612	0.00730725	8.10905e-05
Zpbp	0.98809	0.0117745	0.000136034
Zp3r	0.995787	0.00416781	4.47971e-05
Zp3	0.813337	0.183218	0.003445
Zp2	0.996592	0.00337195	3.59667e-05
Zp1	0.986931	0.0129187	0.000150636
Znrf4	0.972082	0.0275651	0.000352535
Zmynd15	0.963032	0.0364816	0.000486601
Zmynd12	0.98834	0.0115272	0.000132906
Zmynd10	0.873062	0.124817	0.00212143
Zmiz1	0.849602	0.147777	0.00262063
Zmat4	0.984095	0.0157179	0.000187164
Zmat1	0.972826	0.0268321	0.000341853
Zkscan6	0.971266	0.0283697	0.000364321
Zim1	0.995059	0.00488822	5.29283e-05
Zic4	0.994424	0.00551573	6.01112e-05
Zic1	0.997547	0.00242743	2.5711e-05
Zhx3	0.887719	0.110458	0.00182362
Zhx2	0.725158	0.269131	0.0057117
Zfyve28	0.619604	0.371454	0.00894254
Zfyve27	0.555493	0.433284	0.0112231
Zfyve16	0.606425	0.384185	0.00938991
Zfy1	0.984786	0.0150355	0.000178157
Zfpm2	0.805706	0.190668	0.00362647
Zfp94	0.94333	0.0558687	0.000801289
Zfp92	0.961628	0.0378637	0.000508028
Zfp9	0.80523	0.191132	0.00363787
Zfp82	0.581629	0.40811	0.010261
Zfp811	0.916362	0.0823632	0.0012746
Zfp804a	0.999435	0.000558677	6.18054e-06
Zfp787$LOC100041228	0.807562	0.188856	0.00358206
Zfp786	0.974735	0.0249506	0.000314691
Zfp784	0.960241	0.0392299	0.000529372
Zfp78	0.947594	0.051675	0.000730763
Zfp768	0.629932	0.361469	0.0085992
Zfp759	0.940213	0.0589338	0.000853636
Zfp750	0.773286	0.222286	0.00442829
Zfp75	0.519363	0.468003	0.0126337
Zfp711	0.975521	0.0241753	0.000303606
Zfp709	0.989268	0.0106107	0.000121393
Zfp708	0.975436	0.0242596	0.000304809
Zfp697	0.961968	0.0375291	0.000502826
Zfp689	0.541425	0.446814	0.0117607
Zfp677	0.585363	0.40451	0.0101273
Zfp672	0.98321	0.0165916	0.000198786
Zfp661	0.700238	0.293341	0.00642118
Zfp653	0.500905	0.485701	0.0133938
Zfp629	0.841656	0.155548	0.00279584
Zfp619	0.835582	0.161486	0.00293182
Zfp612	0.905422	0.093099	0.00147897
Zfp608	0.889549	0.108663	0.00178721
Zfp606	0.55495	0.433806	0.0112436
Zfp597	0.654822	0.337381	0.00779712
Zfp595	0.764936	0.230422	0.00464292
Zfp59	0.997825	0.00215236	2.2773e-05
Zfp583	0.694947	0.298477	0.00657586
Zfp563	0.955346	0.0440481	0.000605884
Zfp551	0.953772	0.0455974	0.000630887
Zfp541	0.820754	0.175975	0.00327127
Zfp536	0.995756	0.00419882	4.51445e-05
Zfp53$LOC100044273	0.537538	0.45055	0.0119119
Zfp524	0.60065	0.389761	0.0095893
Zfp521	0.99255	0.0073683	8.1817e-05
Zfp52	0.989254	0.0106247	0.000121567
Zfp509	0.678986	0.313963	0.00705138
Zfp503	0.695874	0.297577	0.00654865
Zfp474	0.938222	0.0608907	0.000887403
Zfp467	0.982817	0.0169793	0.000203975
Zfp458	0.996133	0.00382589	4.09831e-05
Zfp455	0.999418	0.000576106	6.35931e-06
Zfp454	0.638204	0.353468	0.00832872
Zfp40	0.983464	0.0163405	0.000195435
Zfp398	0.90233	0.0961317	0.00153794
Zfp39	0.905758	0.0927691	0.00147259
Zfp358	0.629391	0.361992	0.00861703
Zfp354b	0.990843	0.00905529	0.000102173
Zfp334	0.993501	0.00642795	7.07095e-05
Zfp324	0.848293	0.149057	0.00264927
Zfp319	0.773491	0.222086	0.00442306
Zfp316	0.980198	0.019563	0.000239043
Zfp30	0.785199	0.210673	0.00412784
Zfp3	0.832952	0.164057	0.00299127
Zfp287	0.957559	0.0418696	0.000571054
Zfp286	0.735656	0.258921	0.0054221
Zfp282	0.735355	0.259215	0.00543035
Zfp28	0.961791	0.0377035	0.000505537
Zfp276	0.667345	0.325248	0.00740669
Zfp273	0.619647	0.371412	0.00894107
Zfp27	0.765192	0.230172	0.00463629
Zfp248	0.964512	0.0350239	0.000464183
Zfp213	0.663586	0.328891	0.007523
Zfp202	0.924818	0.0740609	0.00112137
Zfp2	0.9109	0.0877243	0.00137579
Zfp189	0.951772	0.0475653	0.000662916
Zfp182	0.721878	0.272318	0.00580328
Zfp179	0.952176	0.0471673	0.000656414
Zfp169	0.535281	0.452719	0.0120001
Zfp142	0.818387	0.178287	0.00332642
Zfp14	0.986732	0.0131152	0.000153164
Zfp128	0.814044	0.182528	0.00342832
Zfp119	0.849894	0.147492	0.00261425
Zfp113	0.92847	0.0704735	0.00105651
Zfp112	0.674854	0.317969	0.00717667
Zfp111	0.716768	0.277284	0.00594705
Zfp11	0.573981	0.415481	0.0105377
Zfp109	0.779931	0.215809	0.00425987
Zfp108	0.97566	0.0240384	0.000301656
Zfhx4	0.992194	0.00771967	8.60127e-05
Zfat1	0.782922	0.212893	0.00418472
Zer1	0.995194	0.00475447	5.14092e-05
Zeb2	0.991273	0.00863041	9.69969e-05
Zdhhc25	0.992686	0.00723376	8.02169e-05
Zdhhc22	0.63679	0.354835	0.00837465
Zdhhc2	0.801547	0.194727	0.00372654
Zdhhc19	0.997614	0.00236097	2.49991e-05
Zdhhc17	0.507055	0.479807	0.0131374
Zdhhc14	0.983729	0.0160789	0.000191953
Zdhhc11	0.993601	0.00632983	6.95609e-05
Zcchc5	0.966579	0.0329877	0.000433186
Zcchc4	0.583092	0.406699	0.0102085
Zcchc18	0.860148	0.137459	0.00239284
Zc3hav1	0.59563	0.394605	0.00976432
Zc3h7a	0.648531	0.343472	0.00799653
Zc3h6	0.915975	0.0827436	0.00128172
Zc3h12d	0.995547	0.00440594	4.74708e-05
Zbtb8os	0.981818	0.0179649	0.000217254
Zbtb7c	0.726769	0.267564	0.0056669
Zbtb46	0.841097	0.156095	0.00280827
Zbtb4	0.705444	0.288286	0.00627036
Zbtb38	0.879142	0.118861	0.00199655
Zbtb37	0.996001	0.00395683	4.24401e-05
Zbtb20	0.874989	0.122929	0.00208165
Zbtb16	0.916436	0.0822911	0.00127325
Zbed3	0.565237	0.423904	0.0108589
Zan	0.916903	0.0818319	0.00126466
Ypel4	0.993724	0.00620804	6.81381e-05
Ypel1	0.67346	0.319321	0.00721914
Yod1	0.948198	0.0510811	0.000720879
Xtrp3s1	0.999618	0.000377742	4.31976e-06
Xpnpep2	0.529337	0.458428	0.0122344
Xkrx	0.98883	0.0110433	0.000126809
Xkr6	0.975791	0.0239095	0.000299821
Xkr4	0.999474	0.000520183	5.78555e-06
Xk	0.947314	0.0519504	0.000735354
Xirp1	0.976608	0.0231037	0.000288393
Xdh	0.973423	0.026244	0.000333325
Xcr1	0.992427	0.00749001	8.32676e-05
Xcl1	0.993204	0.0067214	7.41564e-05
Wwox	0.670142	0.322537	0.00732065
Wscd1	0.684223	0.308883	0.00689387
Wnt9b	0.949674	0.0496294	0.000696833
Wnt9a	0.826584	0.17028	0.00313655
Wnt8b	0.998776	0.00121114	1.2893e-05
Wnt8a	0.996524	0.00343885	3.67024e-05
Wnt6	0.552349	0.436309	0.011342
Wnt5b	0.980455	0.0193097	0.000235568
Wnt5a	0.949477	0.0498232	0.000700035
Wnt4	0.549579	0.438974	0.0114474
Wnt3a	0.909916	0.0886895	0.00139419
Wnt2b	0.990859	0.00903897	0.000101974
Wnt2	0.988916	0.0109582	0.000125741
Wnt16	0.917403	0.0813418	0.00125551
Wnt11	0.665065	0.327458	0.00747714
Wnt10b	0.849121	0.148248	0.00263115
