Loci	ips
0610007P08Rik	3.90096
0610008F07Rik	5.31751
0610011L14Rik	6.58881
0610012D14Rik	4.5788
0610012H03Rik	3.80875
0610037L13Rik	6.49762
0610038D11Rik	6.15901
0710005I19Rik	3.61525
1-Mar	3.45415
1100001E04Rik	3.18241
1100001G20Rik	3.47596
1110001D15Rik	4.43679
1110002H13Rik	3.69484
1110005A03Rik	5.95467
1110006O17Rik	5.63955
1110006O24Rik	4.22547
1110008J03Rik	7.3177
1110017D15Rik	4.88084
1110017I16Rik	5.25496
1110018M03Rik	4.54553
1110019K23Rik	5.79137
1110028C15Rik	5.31895
1110032A03Rik	6.37345
1110032A04Rik	4.00994
1110033F04Rik	2.63084
1110038D17Rik	6.99275
1110049B09Rik	4.50647
1110054O05Rik	7.37582
1110067I12Rik	4.94666
1190002A17Rik	3.95109
1190002H23Rik	4.43601
1190003M12Rik	5.38134
1190020J12Rik	5.75833
12-Sep	2.95674
1200003I07Rik	5.2883
1200009I06Rik	4.92715
1200009O22Rik	4.65319
1200013B08Rik	4.81869
1300002K09Rik	2.67641
1300003B13Rik	5.99693
1300007F04Rik	3.51953
1300017J02Rik	4.74052
1500001A10Rik	3.87251
1500005I02Rik	4.15768
1500015O10Rik	5.26354
1500041B16Rik	4.81523
1600002K03Rik	5.97004
1600002O04Rik	4.12355
1600015H20Rik	3.5257
1600015I10Rik	4.59974
1600016N20Rik	5.97772
1700001C02Rik	3.79356
1700001C19Rik	4.65645
1700001E04Rik	4.61978
1700001F09Rik	2.63555
1700001O22Rik	4.28131
1700001P01Rik	4.31904
1700003F12Rik	4.90639
1700003M02Rik	4.17076
1700006J14Rik	3.0228
1700007G11Rik	3.30002
1700007I06Rik	3.31268
1700007K09Rik	4.82205
1700008F21Rik	2.21507
1700008G05Rik	4.00213
1700008I05Rik	3.08926
1700009N14Rik	4.04315
1700010A17Rik	4.1746
1700010C24Rik	3.84086
1700010D01Rik	4.16497
1700010H22Rik	3.02233
1700010I14Rik	4.30741
1700010M22Rik	2.58154
1700011F03Rik	5.08129
1700011F14Rik	4.0361
1700011H14Rik	3.31416
1700011J10Rik	3.29112
1700012A03Rik	2.69926
1700012A16Rik	5.40687
1700012B09Rik	4.19338
1700012H17Rik	6.35849
1700012L04Rik	4.29404
1700013G24Rik	4.01377
1700015E13Rik	4.3241
1700016C15Rik	3.24112
1700016D06Rik	3.02563
1700016G05Rik	4.71519
1700016K19Rik	3.52967
1700017N19Rik	2.83301
1700018B08Rik	5.32981
1700018C11Rik	3.74111
1700018F24Rik	4.71653
1700018L24Rik	3.5918
1700019G17Rik	5.08747
1700019L03Rik	3.17517
1700019M22Rik	3.07879
1700019N19Rik	4.16788
1700019P01Rik	4.81062
1700020D05Rik	3.09036
1700020N15Rik	4.11831
1700020O03Rik	6.19737
1700021C14Rik	7.30145
1700021K02Rik	3.60053
1700023E05Rik	5.19073
1700023I07Rik	2.88551
1700024B05Rik	2.77773
1700025D03Rik	4.87397
1700025E21Rik	4.5907
1700025F22Rik	2.22277
1700026D08Rik	2.91913
1700026L06Rik	5.22606
1700027A23Rik	4.38037
1700027N10Rik	5.52875
1700028P14Rik	3.4467
1700029F12Rik	4.48128
1700029G01Rik	5.84861
1700029H14Rik	3.89943
1700029I15Rik	4.03946
1700029J07Rik	3.031
1700030F18Rik	3.45861
1700030J22Rik	4.00217
1700034E13Rik	4.04727
1700034H15Rik	3.4371
1700034I23Rik	2.46507
1700034K16Rik	4.00419
1700034O15Rik	4.59109
1700037C18Rik	4.81884
1700039E15Rik	3.96541
1700040L02Rik	3.14003
1700041C02Rik	4.37073
1700042B14Rik	2.76075
1700042G07Rik	4.25176
1700049G17Rik	2.64091
1700049K14Rik	3.97463
1700052N19Rik	6.98275
1700054O13Rik	3.19056
1700055M20Rik	3.31926
1700057G04Rik	3.64716
1700057K13Rik	4.033
1700058C13Rik	4.59505
1700061G19Rik	6.19428
1700065D16Rik	2.5116
1700065I17Rik	4.66866
