Loci	mef_0	mef_1	mef_2
p_mef	0.820462	0.179538	1.43389e-08
a_mef	0.999438	0.000561783	2.86369e-14
Zxdb_mef	0.549568	0.450374	5.74575e-05
Zswim5_mef	0.407652	0.592206	0.000142452
Zswim2_mef	0.999656	0.000343559	4.51334e-10
Zscan20_mef	0.948291	0.0517069	2.2675e-06
Zscan2_mef	0.999141	0.000859198	5.58125e-10
Zpbp2_mef	0.998222	0.0017783	2.60295e-08
Zpbp_mef	0.997261	0.00273877	4.16269e-08
Zp3r_mef	0.960905	0.0390954	3.85731e-09
Zp3_mef	0.999736	0.000264027	8.71522e-12
Zp2_mef	0.991619	0.00838065	1.13301e-11
Zp1_mef	0.999915	8.46325e-05	5.65871e-12
Znrf4_mef	0.887703	0.112297	1.95387e-08
Zmynd15_mef	0.996647	0.00335319	3.16677e-09
Zmynd12_mef	0.999992	8.05989e-06	6.1027e-12
Zmynd10_mef	0.99813	0.00187003	4.94792e-08
Zmiz1_mef	0.881415	0.118578	7.66172e-06
Zmat4_mef	0.994442	0.00555849	3.81005e-09
Zmat1_mef	0.570828	0.429158	1.41457e-05
Zkscan6_mef	0.987783	0.0122168	1.77423e-08
Zim1_mef	0.998584	0.00141575	4.35608e-10
Zic4_mef	0.998584	0.00141638	2.95211e-10
Zic1_mef	0.143833	0.856023	0.000144046
Zhx3_mef	0.953827	0.0461625	1.05495e-05
Zhx2_mef	0.00300142	0.996669	0.000329965
Zfyve28_mef	0.892407	0.107579	1.36688e-05
Zfyve27_mef	0.944971	0.055024	4.82505e-06
Zfyve16_mef	0.935656	0.0641954	0.000148705
Zfy1_mef	0.885373	0.114605	2.10885e-05
Zfpm2_mef	0.0998736	0.899597	0.000529287
Zfp94_mef	0.967178	0.0328186	3.54949e-06
Zfp92_mef	0.795394	0.204605	2.24147e-07
Zfp9_mef	4.50173e-06	0.111631	0.888365
Zfp82_mef	0.988352	0.0116476	5.32599e-08
Zfp811_mef	0.999952	4.75389e-05	1.56081e-11
Zfp804a_mef	0.999993	7.48918e-06	6.20002e-12
Zfp787$LOC100041228_mef	0.759622	0.240378	2.75002e-07
Zfp786_mef	0.999601	0.000399307	3.39147e-09
Zfp784_mef	0.952772	0.0472277	2.57711e-08
Zfp78_mef	0.988421	0.011579	2.84188e-09
Zfp768_mef	0.147873	0.851516	0.000611681
Zfp759_mef	0.99998	1.97251e-05	1.98965e-09
Zfp750_mef	0.995882	0.0041179	9.37197e-10
Zfp75_mef	0.994642	0.00535757	8.67265e-09
Zfp711_mef	0.999979	2.09465e-05	6.40091e-11
Zfp709_mef	0.994512	0.00548798	5.0862e-08
Zfp708_mef	0.999983	1.73406e-05	8.07287e-10
Zfp697_mef	0.929383	0.070616	1.52501e-06
Zfp689_mef	0.998575	0.00142536	8.2378e-09
Zfp677_mef	0.133785	0.86571	0.000504955
Zfp672_mef	0.0910194	0.908287	0.000693766
Zfp661_mef	0.983398	0.0166017	1.31759e-07
Zfp653_mef	0.985635	0.0143652	5.44169e-08
Zfp629_mef	0.811333	0.188638	2.88722e-05
Zfp619_mef	0.909427	0.0905724	3.18859e-07
Zfp612_mef	0.991515	0.00848495	6.62446e-09
Zfp608_mef	0.999243	0.000757353	5.86201e-10
Zfp606_mef	0.998241	0.00175792	6.92328e-07
Zfp597_mef	0.859768	0.140231	2.49361e-07
Zfp595_mef	0.836654	0.163345	1.22981e-06
Zfp59_mef	0.999997	2.86635e-06	8.30556e-13
Zfp583_mef	0.995907	0.00409188	7.05786e-07
Zfp563_mef	0.954061	0.0459311	7.99818e-06
Zfp551_mef	0.998515	0.00148508	2.88525e-09
Zfp541_mef	0.985377	0.0146233	2.82595e-08
Zfp536_mef	0.998985	0.0010151	4.38409e-09
Zfp53$LOC100044273_mef	0.134562	0.865428	9.98838e-06
Zfp524_mef	0.911753	0.0882255	2.16204e-05
Zfp521_mef	0.000769337	0.993347	0.0058838
Zfp52_mef	0.999902	9.84251e-05	3.41484e-11
Zfp509_mef	0.998813	0.00118693	1.42076e-09
Zfp503_mef	0.00069244	0.842419	0.156889
Zfp474_mef	0.993431	0.00656891	1.03517e-09
Zfp467_mef	0.899642	0.100356	2.1632e-06
Zfp458_mef	0.999797	0.000202883	3.21802e-11
Zfp455_mef	0.999968	3.18989e-05	9.77838e-13
Zfp454_mef	0.344472	0.655497	3.06413e-05
Zfp40_mef	0.999994	5.98281e-06	4.00078e-11
Zfp398_mef	0.999504	0.000495847	7.76457e-10
Zfp39_mef	0.996441	0.00355779	1.25612e-06
Zfp358_mef	0.316241	0.683718	4.08502e-05
Zfp354b_mef	0.998423	0.00157657	2.73725e-09
Zfp334_mef	0.999997	3.18167e-06	8.77642e-13
Zfp324_mef	0.94237	0.0576154	1.46409e-05
Zfp319_mef	0.998604	0.00139633	4.67236e-09
Zfp316_mef	0.999175	0.000824633	1.53362e-07
Zfp30_mef	0.740772	0.259227	1.12039e-06
Zfp3_mef	0.99902	0.000979861	4.89893e-08
Zfp287_mef	0.940533	0.0594654	1.52401e-06
Zfp286_mef	0.619476	0.380449	7.55666e-05
Zfp282_mef	0.74412	0.255877	2.80468e-06
Zfp28_mef	0.98385	0.0161491	4.88645e-07
Zfp276_mef	0.908329	0.0916685	2.34525e-06
Zfp273_mef	0.999751	0.00024947	5.35894e-10
Zfp27_mef	0.999292	0.000707219	7.52517e-07
Zfp248_mef	0.998653	0.00134655	1.3957e-09
Zfp213_mef	0.953338	0.046661	8.00036e-07
Zfp202_mef	0.834178	0.165801	2.07558e-05
Zfp2_mef	0.995734	0.00426338	2.16499e-06
Zfp189_mef	0.999988	1.16709e-05	1.2665e-10
Zfp182_mef	0.953945	0.0460545	8.15221e-08
Zfp179_mef	0.960552	0.0394481	8.15523e-10
Zfp169_mef	0.616752	0.382819	0.00042926
Zfp142_mef	0.999365	0.000634729	1.44788e-07
Zfp14_mef	0.990097	0.00990281	9.74818e-08
Zfp128_mef	0.967078	0.0329195	2.66292e-06
Zfp119_mef	0.95963	0.0403699	1.14478e-08
Zfp113_mef	0.999593	0.00040722	2.78332e-10
Zfp112_mef	0.609944	0.390033	2.25169e-05
Zfp111_mef	0.911368	0.0886301	1.90136e-06
Zfp11_mef	0.586146	0.41373	0.000123714
Zfp109_mef	0.934027	0.0659622	1.12054e-05
Zfp108_mef	0.99941	0.00059021	1.19041e-09
Zfhx4_mef	0.0010583	0.988355	0.0105868
Zfat1_mef	0.902342	0.0976577	5.24419e-08
Zer1_mef	0.999989	1.14029e-05	1.01855e-11
Zeb2_mef	0.209524	0.790389	8.66888e-05
Zdhhc25_mef	0.999965	3.5327e-05	9.84122e-13
Zdhhc22_mef	0.703	0.296939	6.13431e-05
Zdhhc2_mef	0.00202724	0.962966	0.0350072
Zdhhc19_mef	0.999776	0.000223736	3.2916e-11
Zdhhc17_mef	0.924083	0.0759141	3.11861e-06
Zdhhc14_mef	0.921392	0.0786058	1.7169e-06
Zdhhc11_mef	0.999262	0.00073845	5.80453e-11
Zcchc5_mef	0.00103412	0.998276	0.000689403
Zcchc4_mef	0.960986	0.0390131	5.32063e-07
Zcchc18_mef	0.884693	0.115306	2.29339e-07
Zc3hav1_mef	0.987434	0.012566	1.95461e-08
Zc3h7a_mef	0.973477	0.0265222	8.91895e-07
Zc3h6_mef	0.943035	0.0569644	4.73538e-07
Zc3h12d_mef	0.999989	1.10957e-05	2.5095e-15
Zbtb8os_mef	1	5.39438e-08	2.89699e-13
Zbtb7c_mef	0.804818	0.195139	4.25948e-05
Zbtb46_mef	0.97783	0.0221695	1.83247e-07
Zbtb4_mef	0.0150222	0.981001	0.00397677
Zbtb38_mef	0.997454	0.00254639	3.95899e-08
Zbtb37_mef	1	6.13734e-09	8.4473e-16
Zbtb20_mef	0.415936	0.584031	3.33554e-05
Zbtb16_mef	0.72692	0.273078	2.01059e-06
Zbed3_mef	0.993526	0.00647432	1.51718e-07
Zan_mef	0.714132	0.285861	7.13817e-06
Ypel4_mef	0.999184	0.000816269	3.6109e-10
Ypel1_mef	0.685657	0.314322	2.16002e-05
Yod1_mef	0.996767	0.00323242	1.80807e-07
Xtrp3s1_mef	0.999522	0.000477813	1.81113e-13
Xpnpep2_mef	0.0691558	0.930824	2.06655e-05
Xkrx_mef	0.996188	0.00381234	2.71821e-10
Xkr6_mef	0.993039	0.00696075	8.30602e-08
Xkr4_mef	0.999688	0.000311725	1.40724e-09
Xk_mef	0.993649	0.00635079	2.67707e-07
Xirp1_mef	0.998584	0.0014164	2.9568e-09
Xdh_mef	0.999467	0.000533493	1.12165e-12
Xcr1_mef	0.999441	0.000559458	1.52172e-11
Xcl1_mef	0.979488	0.0205122	5.7495e-10
Wwox_mef	0.869982	0.129994	2.43585e-05
Wscd1_mef	0.983925	0.0160753	1.59816e-07
Wnt9b_mef	0.633485	0.366515	1.83306e-07
Wnt9a_mef	0.0024272	0.993243	0.00432959
Wnt8b_mef	0.997833	0.00216699	1.7094e-11
Wnt8a_mef	0.999954	4.56791e-05	1.15576e-15
Wnt6_mef	0.293211	0.706118	0.000670822
Wnt5b_mef	0.97722	0.0227802	3.70045e-09
Wnt5a_mef	0.0054432	0.993772	0.000784397
Wnt4_mef	0.124738	0.875031	0.000231029
Wnt3a_mef	0.771538	0.228462	1.8962e-07
Wnt2b_mef	0.998538	0.00146241	2.70974e-11
Wnt2_mef	0.975276	0.0247242	2.36717e-07
Wnt16_mef	0.939885	0.0601139	1.14254e-06
Wnt11_mef	0.446392	0.552891	0.000717277
Wnt10b_mef	0.947513	0.0524873	1.33553e-07
Wnt10a_mef	0.665601	0.334398	5.23204e-07
Wnt1_mef	0.990126	0.00987448	1.08376e-09
Wnk4_mef	0.999538	0.000461894	2.57579e-08
Wnk2_mef	0.860841	0.139155	4.36941e-06
Wisp1_mef	2.4444e-08	0.0680927	0.931907
Wipi1_mef	0.336353	0.66352	0.000127099
Wif1_mef	0.999854	0.000145853	1.33439e-11
Whrn_mef	0.184857	0.811553	0.00359062
Whdc1_mef	0.998462	0.00153844	1.48439e-10
Wfikkn2_mef	0.876619	0.12338	9.87542e-07
Wfdc6a_mef	0.999979	2.07027e-05	6.3607e-12
Wfdc5_mef	0.86802	0.13198	1.76816e-08
Wfdc3_mef	0.997551	0.00244867	1.43473e-08
Wfdc15b_mef	0.944072	0.0559283	8.23483e-09
Wfdc12_mef	0.482377	0.5176	2.30989e-05
Wee2_mef	0.999995	5.32056e-06	2.82501e-13
Wdr86_mef	0.997461	0.00253927	1.38651e-09
Wdr78_mef	0.99999	1.04501e-05	8.86812e-10
Wdr69_mef	0.999996	3.62273e-06	2.94772e-13
Wdr63_mef	0.996943	0.00305665	1.25811e-09
Wdr60_mef	0.0372738	0.961581	0.00114552
Wdr5b_mef	0.996644	0.0033558	6.73802e-08
Wdr38_mef	0.868165	0.131831	3.56656e-06
Wdr27_mef	0.999979	2.14452e-05	2.79676e-10
Wdr22_mef	0.974281	0.0257191	1.26417e-08
Wdr20b_mef	0.999998	2.35596e-06	3.12284e-14
Wdr19_mef	0.967229	0.032769	1.77129e-06
Wdr17_mef	0.999936	6.41813e-05	1.65619e-10
Wdr16_mef	0.999993	6.9647e-06	1.28475e-09
Wbscr28_mef	0.841605	0.158394	2.32774e-07
Was_mef	0.999551	0.000449053	1.34353e-11
Wars2_mef	0.145894	0.853883	0.00022302
Wap_mef	0.75878	0.241217	2.46996e-06
Vwf_mef	0.999772	0.000227857	2.37701e-11
Vwc2_mef	0.998891	0.00110946	7.1447e-10
Vwa2_mef	0.998881	0.00111935	6.21882e-12
Vwa1_mef	0.941707	0.0582931	1.7428e-07
Vtn_mef	0.990013	0.00998701	2.89772e-08
Vti1a_mef	0.702151	0.297836	1.29706e-05
Vtcn1_mef	0.998146	0.0018545	1.06747e-11
Vsx1_mef	0.604537	0.395461	2.13743e-06
Vstm2_mef	1	2.70615e-07	1.66149e-16
Vsnl1_mef	0.98202	0.0179796	1.46316e-08
Vsig8_mef	0.999984	1.61569e-05	3.19563e-12
Vsig2_mef	0.929737	0.0702626	4.38391e-07
Vsig1_mef	0.999957	4.25767e-05	3.67681e-14
Vps37d_mef	0.468522	0.531299	0.000178511
Vps13c_mef	0.994284	0.00571647	5.39909e-09
Vpreb3_mef	0.933344	0.0666545	1.73508e-06
Vpreb1_mef	0.999993	6.60854e-06	8.09583e-12
Vnn3_mef	0.644882	0.355116	2.33403e-06
Vnn1_mef	0.00468687	0.984636	0.0106776
Vldlr_mef	0.212345	0.787471	0.000183271
Vit_mef	0.999191	0.000809193	1.71921e-12
Vipr2_mef	0.979366	0.0206341	2.07783e-09
Vipr1_mef	0.998754	0.00124622	2.57991e-11
Vip_mef	0.970253	0.0297465	1.82256e-07
Vil1_mef	0.999971	2.9388e-05	1.32222e-13
Vgll2_mef	0.968424	0.0315754	9.75713e-08
Vgll1_mef	0.843157	0.156843	2.00066e-07
Vgf_mef	0.4579	0.542003	9.69715e-05
Vezt_mef	0.971915	0.0280849	1.27753e-07
Veph1_mef	0.999713	0.000286943	3.4615e-12
Vdr_mef	0.454452	0.545439	0.000109001
Vcan_mef	0.000167053	0.602145	0.397688
Vax1_mef	0.641445	0.358538	1.69508e-05
Vav3_mef	0.997464	0.002536	2.3483e-08
Vav1_mef	0.99998	2.03305e-05	3.49066e-13
Vash2_mef	0.0197774	0.976606	0.00361639
Vamp5_mef	0.00404873	0.994751	0.0012002
Vamp1_mef	0.939027	0.06097	3.03936e-06
V2r16_mef	0.999853	0.000146555	3.22842e-11
V1rd9_mef	0.999998	2.19988e-06	3.13192e-15
V1rd6_mef	0.0214968	0.978283	0.000220288
V1rd4_mef	0.999994	5.89141e-06	1.28558e-14
V1rd3_mef	0.999984	1.63565e-05	5.6813e-14
V1rc8$V1rc22_mef	1	3.34398e-07	2.22606e-16
V1rc7_mef	1	2.47798e-07	1.47142e-16
V1rc6_mef	0.999997	3.40985e-06	9.65766e-15
V1rc5_mef	0.999204	0.000795829	6.61347e-11
V1rc3_mef	0.999943	5.70363e-05	3.58715e-13
V1rc22_mef	1	2.87033e-08	7.89097e-18
V1rc2_mef	0.999887	0.000113149	6.43736e-12
V1rc1_mef	0.998441	0.00155924	1.03553e-09
V1rb8_mef	0.999776	0.00022359	1.80247e-12
V1rb7_mef	0.999475	0.00052484	1.10678e-12
V1rb6_mef	0.964937	0.035063	9.02644e-09
V1rb5_mef	1	3.53271e-07	2.40191e-16
V1rb3_mef	0.998032	0.0019682	5.97626e-11
V1rb2_mef	0.999602	0.000397879	8.03786e-12
V1rb10_mef	0.998704	0.00129639	1.01262e-11
V1rb1_mef	0.998911	0.00108897	2.83532e-11
V1ra9_mef	0.980133	0.0198671	8.00795e-10
V1ra6_mef	0.950157	0.0498431	1.09737e-08
V1ra5_mef	0.999998	1.55174e-06	2.82529e-15
V1ra4$V1ra3_mef	1	7.76228e-08	3.01079e-17
V1ra2_mef	0.999986	1.43613e-05	3.22382e-14
V1ra1_mef	1	3.86399e-08	1.17502e-17
Uty_mef	0.883156	0.116793	5.10432e-05
Uts2r_mef	0.89827	0.10173	4.94741e-08
Uts2_mef	0.994865	0.00513544	3.51723e-10
Usp9y_mef	0.999245	0.000755035	1.75567e-11
Usp53_mef	0.988219	0.0117807	6.70289e-07
Usp50_mef	0.999707	0.000293298	2.73022e-12
Usp43_mef	0.999628	0.000371704	6.36371e-10
Usp29_mef	0.999712	0.000288119	3.40618e-12
Usp25_mef	0.239876	0.758027	0.00209769
Usp20_mef	0.959261	0.0406542	8.51627e-05
Usp13_mef	0.963794	0.0362051	1.03345e-06
Ushbp1_mef	0.99568	0.00431978	1.03625e-08
Ush2a_mef	0.894736	0.105264	4.53996e-08
Ush1c_mef	0.883184	0.116815	1.29239e-06
Uqcrq_mef	0.997257	0.00274265	2.51496e-08
Upp2_mef	0.998732	0.00126768	5.12192e-11
Upk3b_mef	0.994695	0.00530525	6.87306e-10
Upk3a_mef	0.752579	0.247421	1.68292e-08
Upk1b_mef	0.261893	0.738103	4.38742e-06
Upk1a_mef	0.699336	0.300639	2.42638e-05
Upb1_mef	0.86584	0.13416	3.38502e-08
Uox_mef	0.913155	0.0868453	3.73857e-08
Uncx4.1_mef	0.99817	0.00182969	2.81598e-12
Unc5d_mef	0.998	0.00200049	2.17794e-09
Unc5cl_mef	0.994787	0.00521301	1.04371e-08
Unc5c_mef	0.0130599	0.986399	0.00054088
