Loci	mef_0	mef_1	mef_2
p_mef	0.957991	0.0415511	0.000457991
a_mef	0.974445	0.0252957	0.000259702
Zxdb_mef	0.31584	0.666083	0.0180769
Zswim5_mef	0.75545	0.240649	0.00390115
Zswim2_mef	0.998661	0.00132766	1.16257e-05
Zscan20_mef	0.730832	0.264743	0.00442508
Zscan2_mef	0.973938	0.0257964	0.000265521
Zpbp2_mef	0.993802	0.00614286	5.52391e-05
Zpbp_mef	0.989398	0.0105036	9.8133e-05
Zp3r_mef	0.995669	0.00429335	3.7945e-05
Zp3_mef	0.997135	0.0028401	2.48101e-05
Zp2_mef	0.997492	0.00248595	2.16766e-05
Zp1_mef	0.985389	0.0144719	0.000139301
Znrf4_mef	0.95049	0.0489556	0.000554068
Zmynd15_mef	0.986433	0.0134381	0.000128401
Zmynd12_mef	0.994488	0.00546298	4.8812e-05
Zmynd10_mef	0.940193	0.0591158	0.000691062
Zmiz1_mef	0.710355	0.284767	0.00487825
Zmat4_mef	0.996952	0.003022	2.64303e-05
Zmat1_mef	0.564003	0.427373	0.00862457
Zkscan6_mef	0.943124	0.0562248	0.0006515
Zim1_mef	0.990873	0.00904367	8.34737e-05
Zic4_mef	0.995714	0.00424818	3.75305e-05
Zic1_mef	0.36906	0.615391	0.015549
Zhx3_mef	0.669345	0.32482	0.00583497
Zhx2_mef	0.0231162	0.906351	0.0705323
Zfyve28_mef	0.837942	0.159751	0.00230736
Zfyve27_mef	0.538099	0.452507	0.00939409
Zfyve16_mef	0.370042	0.614452	0.0155058
Zfy1_mef	0.952876	0.0466004	0.000523151
Zfpm2_mef	0.0246879	0.906622	0.0686897
Zfp94_mef	0.924422	0.0746664	0.000911302
Zfp92_mef	0.962635	0.0369651	0.000400199
Zfp9_mef	9.81676e-05	0.539303	0.460599
Zfp82_mef	0.923693	0.0753854	0.000921776
Zfp811_mef	0.995828	0.0041356	3.64988e-05
Zfp804a_mef	0.999223	0.000770245	6.88987e-06
Zfp787$LOC100041228_mef	0.722234	0.273152	0.00461341
Zfp786_mef	0.9825	0.0173298	0.00017002
Zfp784_mef	0.897101	0.101579	0.0013197
Zfp78_mef	0.952941	0.0465366	0.000522318
Zfp768_mef	0.0954257	0.866234	0.0383406
Zfp759_mef	0.986632	0.0132417	0.000126344
Zfp750_mef	0.909738	0.089135	0.00112677
Zfp75_mef	0.862972	0.135155	0.00187309
Zfp711_mef	0.99852	0.001467	1.28188e-05
Zfp709_mef	0.952355	0.0471152	0.000529881
Zfp708_mef	0.986245	0.0136243	0.000130356
Zfp697_mef	0.354882	0.628933	0.0161854
Zfp689_mef	0.681782	0.31268	0.00553773
Zfp677_mef	0.191624	0.782141	0.0262347
Zfp672_mef	0.0632085	0.890451	0.0463408
Zfp661_mef	0.911443	0.0874554	0.00110126
Zfp653_mef	0.716542	0.278719	0.00473965
Zfp629_mef	0.187204	0.786175	0.0266215
Zfp619_mef	0.803917	0.193148	0.00293473
Zfp612_mef	0.982784	0.0170492	0.000166966
Zfp608_mef	0.206699	0.768316	0.0249849
Zfp606_mef	0.823175	0.17425	0.00257444
Zfp597_mef	0.512886	0.476934	0.0101797
Zfp595_mef	0.772103	0.224338	0.00355944
Zfp59_mef	0.999022	0.000969036	8.57307e-06
Zfp583_mef	0.772458	0.22399	0.00355226
Zfp563_mef	0.877012	0.121348	0.00163988
Zfp551_mef	0.979662	0.0201366	0.000200973
Zfp541_mef	0.909486	0.0893836	0.00113056
Zfp536_mef	0.98838	0.0115112	0.00010841
Zfp53$LOC100044273_mef	0.317902	0.664127	0.0179713
Zfp524_mef	0.255333	0.723137	0.0215299
Zfp521_mef	0.00198697	0.816509	0.181504
Zfp52_mef	0.931419	0.0677686	0.0008121
Zfp509_mef	0.686299	0.30827	0.00543134
Zfp503_mef	0.000219085	0.625792	0.373989
Zfp474_mef	0.952622	0.046852	0.000526438
Zfp467_mef	0.740637	0.255149	0.0042137
Zfp458_mef	0.992634	0.00729935	6.63442e-05
Zfp455_mef	0.999447	0.000548117	5.01141e-06
Zfp454_mef	0.712327	0.282839	0.0048339
Zfp40_mef	0.998119	0.00186478	1.62485e-05
Zfp398_mef	0.869861	0.128381	0.00175771
Zfp39_mef	0.950983	0.0484695	0.000547661
Zfp358_mef	0.207254	0.767805	0.0249408
Zfp354b_mef	0.99579	0.00417364	3.68471e-05
Zfp334_mef	0.98229	0.017538	0.00017229
