Loci	pips_0	pips_1	pips_2
p_pips	0.96846	0.03154	2.18798e-10
a_pips	0.990277	0.00972337	1.04619e-09
Zxdb_pips	0.644781	0.355195	2.40819e-05
Zswim5_pips	0.900089	0.0999106	8.51579e-07
Zswim2_pips	0.999943	5.67682e-05	2.27463e-11
Zscan20_pips	0.850077	0.14992	2.3712e-06
Zscan2_pips	0.99977	0.000229521	1.77722e-10
Zpbp2_pips	0.998775	0.00122508	5.11734e-13
Zpbp_pips	0.99999	1.04959e-05	1.90138e-13
Zp3r_pips	0.996914	0.00308601	4.28212e-11
Zp3_pips	0.999732	0.000267536	3.64666e-12
Zp2_pips	0.998281	0.00171885	2.5612e-14
Zp1_pips	0.992786	0.00721369	1.75361e-11
Znrf4_pips	0.989148	0.0108517	8.869e-11
Zmynd15_pips	0.991762	0.00823835	1.06348e-10
Zmynd12_pips	0.999942	5.77333e-05	2.50293e-13
Zmynd10_pips	0.979403	0.0205962	4.38621e-07
Zmiz1_pips	0.947037	0.0529632	2.12365e-07
Zmat4_pips	0.997018	0.00298177	8.84067e-08
Zmat1_pips	0.995388	0.00461167	3.59916e-09
Zkscan6_pips	0.982791	0.0172092	1.48825e-08
Zim1_pips	0.987191	0.0128093	1.73398e-08
Zic4_pips	0.999607	0.000392965	3.79835e-10
Zic1_pips	0.000970723	0.966496	0.0325333
Zhx3_pips	0.924125	0.075868	6.74768e-06
Zhx2_pips	0.107221	0.892687	9.14499e-05
Zfyve28_pips	0.910094	0.0899003	5.35397e-06
Zfyve27_pips	0.564092	0.435825	8.24223e-05
Zfyve16_pips	0.973034	0.0269664	3.51712e-08
Zfy1_pips	0.98884	0.0111599	6.22945e-11
Zfpm2_pips	0.854786	0.145212	1.3954e-06
Zfp94_pips	0.832882	0.167116	2.12575e-06
Zfp92_pips	0.765499	0.234501	1.66236e-07
Zfp9_pips	0.920116	0.0798831	4.40744e-07
Zfp82_pips	0.928411	0.0715886	4.84682e-09
Zfp811_pips	0.997796	0.00220352	1.28587e-10
Zfp804a_pips	1	4.84193e-08	4.832e-14
Zfp787$LOC100041228_pips	0.600774	0.399226	1.28887e-07
Zfp786_pips	0.999447	0.000552593	3.02056e-11
Zfp784_pips	0.963234	0.0367662	3.38693e-08
Zfp78_pips	0.996273	0.00372734	7.71829e-09
Zfp768_pips	0.0735099	0.926165	0.000325503
Zfp759_pips	0.994457	0.00554297	6.81267e-10
Zfp750_pips	0.567714	0.432284	2.10991e-06
Zfp75_pips	0.993193	0.00680738	5.29147e-10
Zfp711_pips	0.99534	0.00466038	1.36123e-08
Zfp709_pips	0.999708	0.000292289	1.97163e-12
Zfp708_pips	0.999624	0.000375945	3.83757e-12
Zfp697_pips	0.977223	0.0227772	1.4661e-09
Zfp689_pips	0.996079	0.00392096	4.54278e-09
Zfp677_pips	0.982407	0.0175929	8.45948e-08
Zfp672_pips	0.729775	0.270206	1.86552e-05
Zfp661_pips	0.958752	0.0412482	3.45132e-10
Zfp653_pips	0.869047	0.130944	8.70291e-06
Zfp629_pips	0.17318	0.82678	4.00574e-05
Zfp619_pips	0.972308	0.0276924	1.02585e-08
Zfp612_pips	0.824289	0.17571	5.53912e-07
Zfp608_pips	0.97942	0.0205794	1.64597e-07
Zfp606_pips	0.991461	0.00853935	4.97303e-09
Zfp597_pips	0.999611	0.000389311	1.41103e-11
Zfp595_pips	0.811749	0.18825	1.07911e-06
Zfp59_pips	0.999992	8.40265e-06	5.42504e-15
Zfp583_pips	0.98941	0.0105898	1.57677e-08
Zfp563_pips	0.911321	0.0886659	1.28185e-05
Zfp551_pips	0.996928	0.00307167	7.52235e-10
Zfp541_pips	0.967756	0.032244	8.94108e-10
Zfp536_pips	0.99989	0.000110495	2.71387e-10
Zfp53$LOC100044273_pips	0.585474	0.414526	1.41608e-07
Zfp524_pips	0.275204	0.724052	0.000743993
Zfp521_pips	0.999358	0.000642026	1.16519e-13
Zfp52_pips	0.999976	2.35e-05	6.81031e-13
Zfp509_pips	0.998792	0.00120781	1.278e-11
Zfp503_pips	0.829083	0.170917	2.29045e-07
Zfp474_pips	0.979877	0.0201229	4.02126e-09
Zfp467_pips	0.99186	0.00813956	6.65326e-08
Zfp458_pips	0.999267	0.000732875	1.20198e-11
Zfp455_pips	0.999998	2.43216e-06	2.62576e-16
Zfp454_pips	0.351412	0.648588	8.20091e-08
Zfp40_pips	0.999985	1.49071e-05	5.53469e-12
Zfp398_pips	0.997765	0.00223483	1.04287e-09
Zfp39_pips	0.99608	0.00392002	4.12633e-08
Zfp358_pips	0.358233	0.641747	1.98764e-05
Zfp354b_pips	0.999314	0.000685757	3.58208e-11
Zfp334_pips	0.999939	6.05249e-05	1.34151e-13
Zfp324_pips	0.979386	0.0206135	5.42216e-08
Zfp319_pips	0.989002	0.0109968	7.45691e-07
Zfp316_pips	0.869518	0.130426	5.67071e-05
Zfp30_pips	0.912173	0.0878265	4.91545e-09
Zfp3_pips	0.985871	0.0141291	4.99178e-08
Zfp287_pips	0.988185	0.0118153	1.6262e-08
Zfp286_pips	0.960612	0.0393875	1.60485e-09
Zfp282_pips	0.200171	0.799503	0.000326474
Zfp28_pips	0.999534	0.00046564	1.6806e-09
Zfp276_pips	0.835287	0.164696	1.74155e-05
Zfp273_pips	0.997553	0.00244744	2.96527e-12
Zfp27_pips	0.976788	0.0232112	8.96064e-07
Zfp248_pips	0.988126	0.0118745	5.51669e-09
Zfp213_pips	0.649341	0.350658	6.0438e-07
Zfp202_pips	0.972751	0.0272482	7.35648e-07
Zfp2_pips	0.982481	0.0175182	3.25749e-07
Zfp189_pips	0.999891	0.000109188	5.67828e-12
Zfp182_pips	0.68964	0.31036	4.03522e-07
