Loci	pips
p_pips	0
a_pips	0
Zswim5_pips	0
Zswim2_pips	0
Zscan20_pips	0
Zscan2_pips	0
Zpbp2_pips	0
Zpbp_pips	0
Zp3r_pips	0
Zp3_pips	0
Zp2_pips	0
Zp1_pips	0
Znrf4_pips	0
Zmynd15_pips	0
Zmynd12_pips	0
Zmynd10_pips	0
Zmiz1_pips	0
Zmat4_pips	0
Zmat1_pips	0
Zkscan6_pips	0
Zim1_pips	0
Zic4_pips	0
Zhx3_pips	0
Zfyve28_pips	0
Zfyve16_pips	0
Zfy1_pips	0
Zfpm2_pips	0
Zfp94_pips	0
Zfp92_pips	0
Zfp9_pips	0
Zfp82_pips	0
Zfp811_pips	0
Zfp804a_pips	0
Zfp787$LOC100041228_pips	0
Zfp786_pips	0
Zfp784_pips	0
Zfp78_pips	0
Zfp759_pips	0
Zfp75_pips	0
Zfp711_pips	0
Zfp709_pips	0
Zfp708_pips	0
Zfp697_pips	0
Zfp689_pips	0
Zfp677_pips	0
Zfp661_pips	0
Zfp653_pips	0
Zfp629_pips	0
Zfp619_pips	0
Zfp612_pips	0
Zfp606_pips	0
Zfp597_pips	0
Zfp595_pips	0
Zfp59_pips	0
Zfp583_pips	0
Zfp563_pips	0
Zfp551_pips	0
Zfp541_pips	0
Zfp536_pips	0
Zfp53$LOC100044273_pips	0
Zfp521_pips	0
Zfp52_pips	0
Zfp509_pips	0
Zfp503_pips	0
Zfp474_pips	0
Zfp467_pips	0
Zfp458_pips	0
Zfp455_pips	0
Zfp454_pips	0
Zfp40_pips	0
Zfp398_pips	0
Zfp39_pips	0
Zfp354b_pips	0
Zfp334_pips	0
Zfp324_pips	0
Zfp316_pips	0
Zfp30_pips	0
Zfp3_pips	0
Zfp287_pips	0
Zfp286_pips	0
Zfp28_pips	0
Zfp276_pips	0
Zfp273_pips	0
Zfp27_pips	0
Zfp248_pips	0
Zfp213_pips	0
Zfp202_pips	0
Zfp2_pips	0
Zfp189_pips	0
Zfp182_pips	0
Zfp179_pips	0
Zfp169_pips	0
Zfp142_pips	0
Zfp14_pips	0
Zfp128_pips	0
Zfp119_pips	0
Zfp113_pips	0
Zfp112_pips	0
Zfp111_pips	0
Zfp109_pips	0
Zfp108_pips	0
Zfat1_pips	0
Zer1_pips	0
Zeb2_pips	0
Zdhhc25_pips	0
Zdhhc22_pips	0
Zdhhc2_pips	0
Zdhhc19_pips	0
Zdhhc14_pips	0
Zdhhc11_pips	0
Zcchc5_pips	0
Zcchc18_pips	0
Zc3h7a_pips	0
Zc3h6_pips	0
Zc3h12d_pips	0
Zbtb8os_pips	0
Zbtb46_pips	0
Zbtb38_pips	0
Zbtb37_pips	0
Zbtb16_pips	0
Zan_pips	0
Ypel4_pips	0
Ypel1_pips	0
Yod1_pips	0
Xtrp3s1_pips	0
Xpnpep2_pips	0
Xkrx_pips	0
Xkr6_pips	0
Xkr4_pips	0
Xk_pips	0
Xirp1_pips	0
Xcr1_pips	0
Xcl1_pips	0
Wscd1_pips	0
Wnt9b_pips	0
Wnt9a_pips	0
Wnt8b_pips	0
Wnt8a_pips	0
Wnt6_pips	0
Wnt5b_pips	0
Wnt5a_pips	0
Wnt4_pips	0
Wnt3a_pips	0
Wnt2b_pips	0
Wnt2_pips	0
Wnt16_pips	0
Wnt11_pips	0
Wnt10b_pips	0
Wnt10a_pips	0
Wnt1_pips	0
Wnk4_pips	0
Wnk2_pips	0
Wisp1_pips	0
Wipi1_pips	0
Wif1_pips	0
Whrn_pips	0
Whdc1_pips	0
Wfikkn2_pips	0
Wfdc6a_pips	0
Wfdc5_pips	0
Wfdc3_pips	0
Wfdc15b_pips	0
Wfdc12_pips	0
Wee2_pips	0
Wdr86_pips	0
Wdr78_pips	0
Wdr69_pips	0
Wdr63_pips	0
Wdr5b_pips	0
Wdr38_pips	0
Wdr27_pips	0
Wdr22_pips	0
Wdr20b_pips	0
Wdr19_pips	0
Wdr17_pips	0
Wdr16_pips	0
Wbscr28_pips	0
Was_pips	0
Wap_pips	0
Vwf_pips	0
Vwc2_pips	0
Vwa2_pips	0
Vwa1_pips	0
Vtn_pips	0
Vtcn1_pips	0
Vsx1_pips	0
Vstm2_pips	0
Vsnl1_pips	0
Vsig8_pips	0
Vsig2_pips	0
Vsig1_pips	0
Vps37d_pips	0
Vps13c_pips	0
Vpreb3_pips	0
Vpreb1_pips	0
Vnn1_pips	0
Vldlr_pips	0
Vit_pips	0
Vipr2_pips	0
Vipr1_pips	0
Vip_pips	0
Vil1_pips	0
Vgll2_pips	0
Vgll1_pips	0
Vgf_pips	0
Vezt_pips	0
Veph1_pips	0
Vdr_pips	0
