Loci	pips_0	pips_1	pips_2
p_pips	0.990084	0.00982538	9.0543e-05
a_pips	0.98558	0.0142842	0.000136063
Zxdb_pips	0.411083	0.575647	0.01327
Zswim5_pips	0.883504	0.114994	0.00150209
Zswim2_pips	0.999189	0.000804016	7.03867e-06
Zscan20_pips	0.652019	0.341918	0.00606328
Zscan2_pips	0.985022	0.014836	0.000141846
Zpbp2_pips	0.99528	0.00467873	4.1169e-05
Zpbp_pips	0.990806	0.00911094	8.34669e-05
Zp3r_pips	0.998114	0.00186984	1.61073e-05
Zp3_pips	0.996967	0.00300686	2.60582e-05
Zp2_pips	0.996818	0.00315421	2.7368e-05
Zp1_pips	0.990412	0.00950114	8.73236e-05
Znrf4_pips	0.986106	0.0137633	0.000130632
Zmynd15_pips	0.984117	0.0157312	0.000151293
Zmynd12_pips	0.994335	0.00561522	4.98543e-05
Zmynd10_pips	0.906162	0.0926801	0.00115764
Zmiz1_pips	0.844761	0.153104	0.0021351
Zmat4_pips	0.997691	0.00228942	1.97463e-05
Zmat1_pips	0.978648	0.0211419	0.000209988
Zkscan6_pips	0.936763	0.0625115	0.000725642
Zim1_pips	0.996817	0.00315553	2.73799e-05
Zic4_pips	0.992708	0.00722662	6.51289e-05
Zic1_pips	0.00107778	0.77928	0.219642
Zhx3_pips	0.736486	0.259334	0.00418019
Zhx2_pips	0.165925	0.806714	0.0273615
Zfyve28_pips	0.957222	0.0423166	0.000461083
Zfyve27_pips	0.327091	0.656103	0.016806
Zfyve16_pips	0.696158	0.298796	0.00504622
Zfy1_pips	0.994254	0.00569525	5.06034e-05
Zfpm2_pips	0.918227	0.0807903	0.000982528
Zfp94_pips	0.741119	0.254797	0.00408441
Zfp92_pips	0.97159	0.028121	0.000289291
Zfp9_pips	0.829355	0.168243	0.00240156
Zfp82_pips	0.726732	0.268884	0.00438431
Zfp811_pips	0.976403	0.0233619	0.000234801
Zfp804a_pips	0.99974	0.000257431	2.43552e-06
Zfp787$LOC100041228_pips	0.634114	0.359389	0.00649765
Zfp786_pips	0.983293	0.0165474	0.000159975
Zfp784_pips	0.867897	0.130352	0.00175059
Zfp78_pips	0.9434	0.0559625	0.000637494
Zfp768_pips	0.0723255	0.886103	0.041571
Zfp759_pips	0.856785	0.141282	0.00193291
Zfp750_pips	0.11081	0.85521	0.0339796
Zfp75_pips	0.755703	0.240509	0.0037878
Zfp711_pips	0.954336	0.0451669	0.000497078
Zfp709_pips	0.997998	0.00198524	1.71042e-05
Zfp708_pips	0.992658	0.00727614	6.56045e-05
Zfp697_pips	0.917791	0.0812199	0.000988748
Zfp689_pips	0.678015	0.31653	0.00545525
Zfp677_pips	0.886324	0.112218	0.00145816
Zfp672_pips	0.304611	0.677485	0.0179038
Zfp661_pips	0.669134	0.325206	0.00566002
Zfp653_pips	0.632029	0.361422	0.00654907
Zfp629_pips	0.521429	0.46901	0.00956112
Zfp619_pips	0.90396	0.0948502	0.00119024
Zfp612_pips	0.842471	0.155355	0.0021742
Zfp608_pips	0.314511	0.668078	0.0174108
Zfp606_pips	0.902926	0.0958681	0.00120561
Zfp597_pips	0.805442	0.191727	0.00283132
Zfp595_pips	0.752289	0.243855	0.00385657
Zfp59_pips	0.998872	0.00111794	9.68538e-06
