Loci	ips	pips	mef
Cbr2	1	3	3
Hook1	3	3	2
1810073N04Rik	2	2	3
Armcx3$Armcx3	2	2	3
Cd248	2	2	3
Dbn1	2	2	3
Gjb2	2	2	3
LOC100046056	2	2	3
Mgll	2	2	3
Pea15a	2	2	3
Smoc2	2	2	3
Col2a1	2	2	3
Fosl2$Fosl2	2	2	3
Farp1	2	2	3
Vasn	2	2	3
Ttc9	2	2	3
Epb4.1l3	2	2	3
Acta1	2	2	3
2010111I01Rik	2	2	3
Ptgs2	2	2	3
Nid1$LOC630776	2	2	3
Ankrd50	2	2	3
Thbs2	2	2	3
Thy1	2	2	3
Col5a1	2	2	3
Glipr1	2	2	3
Actg2	2	2	3
Glipr2	2	2	3
Pafah1b2	2	2	3
Cyr61	2	2	3
Agpat4	2	2	3
Tmepai	2	2	3
BC035537	2	2	3
Fbn1	2	2	3
Wsb2	2	2	3
Tmtc4	2	2	3
Bmp4	2	2	3
Tgfb1i1	2	2	3
Dsel	2	2	3
Moxd1	2	2	3
Mospd1	2	2	3
Cdh2$Cdh2	2	2	3
Tcn2	2	2	3
Taok1	2	2	3
Smpd1	2	2	3
Slc39a1	2	2	3
Rnd3	2	2	3
Postn	2	2	3
Cnn1	2	2	3
Mmd$LOC100047565	2	2	3
Cxcl14	2	2	3
Loxl1	2	2	3
Cthrc1	2	2	3
Ltbp2	2	2	3
Lrrc15	2	2	3
LOC100046560	2	2	3
Copz2	2	2	3
LOC100047339	2	2	3
Col5a3	2	2	3
Grem2	2	2	3
Aldh1l2	2	2	3
2410146L05Rik	3	2	2
Ldhb	3	2	2
Lefty1	3	2	2
LOC100047936	3	2	2
Folr1	3	2	2
Gab1	3	2	2
Tex19	3	2	2
Rev1	3	2	2
Fbxo15	3	2	2
Gli2	3	2	2
Tspan13	3	2	2
Bex2	3	2	2
Inpp5d	3	2	2
Utf1	3	2	2
Dusp9	3	2	2
Klf2	3	2	2
Sohlh2	3	2	2
Dnmt3b	3	2	2
Sox2	3	2	2
Rps6ka1	3	2	2
Phyh	3	2	2
Apoe	3	2	2
Map3k7ip3	3	2	2
D14Ertd668e	3	2	2
2410004F06Rik	3	1	1
Dppa2	3	1	1
Xlr4c$LOC100044048	3	1	1
Aard	3	1	1
2610305D13Rik	3	1	1
Pnma5	3	1	1
EG434726	3	1	1
Trim6	3	1	1
LOC100046433	3	1	1
LOC100044048	3	1	1
LOC100040854	3	1	1
Ina	3	1	1
Hsd17b14	3	1	1
Ddx4	3	1	1
Slc25a31	3	1	1
Dub1	3	1	1
Taf7l	3	1	1
Aass	3	1	1
Trim71	3	1	1
Zfp42	3	1	1
Esrrb	3	1	1
LOC100039031	3	1	1
Hormad1	3	1	1
Gng3	3	1	1
Gbx2	3	1	1
Fmr1nb	3	1	1
Car4	3	1	1
Calca	3	1	1
Abcb1a	3	1	1
Nanog	3	1	1
Neurod1	3	1	1
Icam1	3	1	1
Mael	3	1	1
Lin28	3	1	1
Lgals6	3	1	1
LOC639910	3	1	1
2410116G06Rik	3	1	1
Sycp3	3	1	1
AV320801	3	1	1
Spesp1	3	1	1
AU022751	3	1	1
Dpys	3	1	1
Tcl1	3	1	1
Trap1a	3	1	1
BQ559217	3	1	1
Prdm14	3	1	1
Arg2	3	1	1
Stk31	3	1	1
Dppa4	3	1	1
Rex2$LOC100041379	3	1	1
Rnf17	3	1	1
Xlr5a	3	1	1
Efhc2	3	1	1
Dazl	3	1	1
Otx2	3	1	1
EG435970	3	1	1
Tex14	3	1	1
Slc2a3	3	1	1
Aurkc	3	1	1
OTTMUSG00000004010	3	1	1
Npl	3	1	1
Mcf2	3	1	1
Cyct	3	1	1
1700001L05Rik	2	1	1
LOC100047360	2	1	1
Spry2	2	1	1
Calcoco2	2	1	1
Gm1967	2	1	1
4933426K21Rik	2	1	1
Pecam1	2	1	1
Triml1	2	1	1
Enox1	2	1	1
6330534C20Rik	2	1	1
Amph	2	1	1
Lonrf3	2	1	1
5730403B10Rik	2	1	1
Mep1b	2	1	1
Mgl1	2	1	1
Lefty2	2	1	1
Lama1	2	1	1
Six6os1	2	1	1
Pycard	2	1	1
5730507C01Rik	2	1	1
Fgf15	2	1	1
Tcstv1	2	1	1
EG381936	2	1	1
Jam2	2	1	1
Cadm1	2	1	1
Blnk	2	1	1
Zfp819	2	1	1
Zfp473	2	1	1
1700029P11Rik	2	1	1
LOC100045304	2	1	1
Gabpb2	2	1	1
Nhedc1	2	1	1
A530057A03Rik	2	1	1
Acacb	2	1	1
Fgf17	2	1	1
Tex12	2	1	1
Dusp27	2	1	1
Efcab2	2	1	1
Tmem170	2	1	1
Tex11	2	1	1
Sp110$LOC100040974	2	1	1
B020006M18Rik	2	1	1
Krt18	2	1	1
Foxred2	2	1	1
Smc1b	2	1	1
Dpp4	2	1	1
Pdcl2	2	1	1
Nxf3	2	1	1
Slc39a4	2	1	1
Dmrt1	2	1	1
Ppp2r2c	2	1	1
Ard1b	2	1	1
Pla2g4b	2	1	1
Pdk4	2	1	1
Nr6a1	2	1	1
D630023F18Rik	2	1	1
Musk	2	1	1
Mrc1	2	1	1
LOC100047200	2	1	1
Cox7a1	2	1	1
9430069J07Rik	2	1	2
Crocc	2	1	2
Rad52	2	1	2
Mpp2	2	1	2
Abat	2	1	2
Cdx2	2	1	2
Aldh3a1	2	2	1
LOC100046333	2	2	1
Tbc1d8	2	2	1
Mtap7d2	2	2	1
1190003J15Rik	3	3	1
AU018091	3	3	1
Zic3	3	3	1
Bex4	3	3	1
LOC100047300	3	3	1
L1td1	3	3	1
Fgfbp1	3	3	1
Fetub	3	3	1
Morc1	3	3	1
Mpzl2	3	3	1
Nr0b1	3	3	1
Mreg	3	3	1
Cdh1	3	3	1
Tacstd1	3	3	1
Srgn	3	3	1
Slc7a7	3	3	1
Slc38a5	3	3	1
Rhox5	3	3	1
Ddc	3	3	1
Pou5f1	3	3	1
Olig1	3	3	1
Klk1$Klk1	1	3	1
Saa1	1	3	1
Kif4	3	2	3
Lmo4	3	2	3
2010305C02Rik	1	1	2
Tgfb2	1	1	2
Vnn1	1	1	2
Epm2aip1	1	1	2
Fat4	1	1	2
Zfp521	1	1	2
Itgbl1	1	1	2
C76566	1	1	2
Ap3b2	1	1	2
Nexn	1	1	2
Fbxo32	1	1	2
C1qtnf3	1	1	2
Zfhx4	1	1	2
Tmem166	1	1	2
Fabp4	1	1	2
Chst2	1	1	2
Egr2	1	1	2
Smpdl3a	1	1	2
Vcan	1	1	2
Fap	1	1	2
LOC100044161	1	1	2
Glis3	1	1	2
Fmod	1	1	2
Glt8d4	1	1	2
Gucy1b3	1	1	2
Klhl30	1	1	2
Chrm1	1	1	2
AW551984	1	1	2
Tll1	1	1	2
Cd200	1	1	2
A730034C02	1	1	2
Ptprz1	1	1	2
Kctd9	1	1	2
Casp12	1	1	2
Dnajb4	1	1	2
Slc41a2	1	1	2
Gper	1	1	2
Cap2	1	1	2
Dkk2	1	1	2
Slc24a3	1	1	2
Maob	1	1	2
Fbxo17	1	1	2
Cacna1c	1	1	2
Ddx3y	1	1	2
Pkia	1	1	2
Adam12	1	1	2
Matn2	1	1	2
Mef2c	1	1	2
Ddit3	1	1	2
Ptprd	1	1	2
LOC100044927	1	1	2
Lyzs$Lyz	1	1	2
Cpxm2	1	1	2
Srpx	1	1	2
Eif2s3y	1	1	2
Stbd1	1	1	2
Aspn	1	1	2
Olr1	1	1	2
Dcn	1	1	2
Adamts12	1	1	2
Cdh10	1	1	2
Ifi35	1	1	2
6330406I15Rik$6330406I15Rik	1	1	2
Epha3	1	1	2
Tnfrsf11b	1	1	2
Tnmd	1	1	2
4933421I07Rik	1	1	2
Sytl2	1	1	2
BC028528	1	1	2
Rbms3	1	1	2
Rassf6	1	1	2
Npr3	1	1	2
Nov	1	1	2
Sec16b	1	1	2
Shox2	1	1	2
Myo7a	1	1	2
Mustn1	1	1	2
Mn1	1	1	2
Megf10	1	1	2
Evi1	1	1	3
Zfp9	1	1	3
Slc1a6	1	1	3
Nedd9	1	1	3
Kif26b	1	1	3
Ogn	1	1	3
4631422O05Rik	1	1	3
