Loci	ips_0	ips_1	ips_2
p	0.988682	0.0113183	8.83424e-12
a	0.971277	0.0287229	6.77e-08
Zxdb	0.964362	0.0356206	1.74929e-05
Zswim5	0.952379	0.0475095	0.000111148
Zswim2	0.999945	5.54863e-05	1.67361e-09
Zscan20	0.876088	0.123835	7.64279e-05
Zscan2	0.999693	0.000307389	2.76402e-09
Zpbp2	0.998431	0.0015693	5.33313e-08
Zpbp	0.998765	0.00123453	5.45114e-09
Zp3r	0.999053	0.000947297	6.36769e-11
Zp3	0.871584	0.128413	2.40783e-06
Zp2	0.999834	0.000166093	1.63636e-14
Zp1	0.997045	0.0029546	2.95593e-09
Znrf4	0.983798	0.0162023	7.03872e-08
Zmynd15	0.978414	0.0215862	1.71443e-07
Zmynd12	0.999979	2.09451e-05	1.2001e-09
Zmynd10	0.959318	0.0406766	5.54394e-06
Zmiz1	0.983268	0.0167311	8.45214e-07
Zmat4	0.996315	0.00367698	7.97159e-06
Zmat1	0.999165	0.000834803	1.0296e-09
Zkscan6	0.999191	0.000808603	3.33253e-08
Zim1	0.9995	0.000499659	8.37009e-10
Zic4	0.994275	0.00572462	4.21025e-08
Zic1	0.999169	0.00083069	5.19944e-08
Zhx3	0.951824	0.048171	5.06614e-06
Zhx2	0.392073	0.607762	0.000164709
Zfyve28	0.510655	0.487937	0.00140789
Zfyve27	0.877761	0.122238	1.58017e-06
Zfyve16	0.813671	0.186264	6.51658e-05
Zfy1	0.999585	0.000414539	6.72894e-12
Zfpm2	0.385252	0.614317	0.000430972
Zfp94	0.989202	0.0107977	4.57616e-08
Zfp92	0.784404	0.215591	4.76661e-06
Zfp9	0.934685	0.0653149	9.9019e-08
Zfp82	0.91883	0.0811627	7.76205e-06
Zfp811	0.983957	0.0160434	3.11659e-08
Zfp804a	1	4.33913e-08	2.47616e-15
Zfp787$LOC100041228	0.915399	0.0846006	1.30307e-08
Zfp786	0.997001	0.00299869	1.64034e-07
Zfp784	0.998521	0.00147856	5.14814e-09
Zfp78	0.99661	0.00338974	1.59718e-08
Zfp768	0.871434	0.128544	2.25184e-05
Zfp759	0.998713	0.00128699	3.49827e-08
Zfp750	0.992055	0.00794451	5.42636e-09
Zfp75	0.937057	0.0629432	1.08317e-08
Zfp711	0.999577	0.000423081	4.88848e-09
Zfp709	0.999927	7.26771e-05	1.8668e-11
Zfp708	0.999958	4.16648e-05	4.76133e-09
Zfp697	0.983466	0.0165341	1.32088e-07
Zfp689	0.989996	0.0100035	4.26292e-07
Zfp677	0.74129	0.2587	9.80794e-06
Zfp672	0.999947	5.31006e-05	3.74847e-12
Zfp661	0.921294	0.0787021	4.09874e-06
Zfp653	0.94805	0.051945	4.53283e-06
Zfp629	0.98151	0.0184888	1.11145e-06
Zfp619	0.954889	0.0451101	7.03315e-07
